	R / angstrom	Eint_HF/ au	Eint_MP2 / au
0	2.0	0.0023029686400279914	0.00208543396821792
1	2.2	0.000967063192153006	0.0008174665811981896
2	2.4000000000000004	0.00040609103811650726	0.00030316137284103206
3	2.6000000000000005	0.00016752541630893347	9.653370890561064e-05
4	2.8000000000000007	6.545251007139541e-05	1.614123422921665e-05
5	3.000000000000001	2.224875237999413e-05	-1.2420637975019133e-05
6	3.200000000000001	4.49548092440466e-06	-2.028374927220966e-05
7	3.4000000000000012	-2.4493653949519967e-06	-2.0509722463479818e-05
8	3.6000000000000014	-4.952121150481048e-06	-1.840048993084764e-05
9	3.8000000000000016	-5.7020744099745e-06	-1.5941271773733945e-05
10	4.000000000000002	-5.791347812866832e-06	-1.3762561241748017e-05
11	4.200000000000002	-5.646538788539601e-06	-1.198845827055095e-05
12	4.400000000000002	-5.429055193850729e-06	-1.058099890016706e-05
13	4.600000000000002	-5.198227195357674e-06	-9.466794477219764e-06
14	4.8000000000000025	-4.9748684141093236e-06	-8.57722421976348e-06
15	5.000000000000003	-4.765449310717429e-06	-7.857678629541454e-06
16	5.200000000000003	-4.571214105908439e-06	-7.2670986659417736e-06
17	5.400000000000003	-4.391589601304702e-06	-6.775194518304772e-06
18	5.600000000000003	-4.225436904370383e-06	-6.359662414467948e-06
19	5.800000000000003	-4.071501742863859e-06	-6.003977020441198e-06
20	6.0000000000000036	-3.928575052825067e-06	-5.69577816733613e-06
21	6.200000000000004	-3.7955489116114904e-06	-5.425725007945914e-06
22	6.400000000000004	-3.671432421192833e-06	-5.186685203995012e-06
23	6.600000000000004	-3.5553502168994555e-06	-4.973156711329807e-06
24	6.800000000000004	-3.446533368922644e-06	-4.780851556418497e-06
25	7.000000000000004	-3.344307223152043e-06	-4.606393339656734e-06
26	7.200000000000005	-3.248078966677781e-06	-4.447095891535469e-06
27	7.400000000000005	-3.1573260059758468e-06	-4.3008001693323195e-06
28	7.600000000000005	-3.0715859127283807e-06	-4.165753386686788e-06
29	7.800000000000005	-2.990447955042441e-06	-4.040518857273412e-06
